ID,Authors,Year,Title,Venue,DOI,Make (TA),Evidence type,Sector,SCOR (Y),End-to-end,AI technique,AI role,Integration extent,HITL role,HITL function,Use in typology,Key finding
R0001,Guzmán E.; Andrés B.; Torres-Polo M.,2026,"A cooperative digital twin–multi-agent reinforcement learning for circular supply chains: balanced control across production, logistics, and sustainability",Computers and Industrial Engineering,10.1016/j.cie.2026.112044,,Simulation/synthetic,"Generic/cross-sector (circular supply chain; construction benchmark, transfer to discrete manufacturing, process industries, waste management)",Plan/Make/Deliver/Return,N,Reinforcement learning,Control,5 Prescriptive-autonomous,Not discussed,Set objectives/constraints,Y,"A five-agent cooperative MARL controller trained in a simulation-based circular-supply-chain DT cut lead time 4.5% and raised OTIF 1.8 p.p. versus no action with bounded cost/CO2 increases, preserved effect signs under shocks, transferred across sectors without retuning; integrated data shifted operations toward lower cost and CO2."
R0008,Kaarlela T.; Alekseev S.; Maljamäki P.; Ikäheimo E.; Kurvinen E.,2026,Digital twin framework for electric truck route and infrastructure planning in the Nordic region,Transportation Engineering,10.1016/j.treng.2026.100426,,Empirical case,Road freight/transport logistics (heavy-duty electric trucks),Plan/Deliver,N,Classical ML,Forecasting/estimation,4 Prescriptive-advisory,Maintained,Set objectives/constraints,Y,"Gradient Boosting on 180+ real winter trips predicts electric-truck depth of discharge (R2=0.58; load, torque and weight dominate), feeding energy-optimal Dijkstra routing; a TruckMaker-calibrated digital twin with virtual interface lets planners test charger/fleet scenarios; co-simulation reproduces speed (R2~0.99). Infrastructure analysis remains what-if decision support, not optimisation."
R0009,Han F.; Liu L.; Sun J.,2026,Logistics equipment condition monitoring and prediction based on digital twin and machine learning,Scientific Reports,10.1038/s41598-026-43380-4,,Simulation/synthetic,Warehousing,Deliver,N,Hybrid,Forecasting/estimation,4 Prescriptive-advisory,Maintained,Approve/override,Y,"Three-layer IoT-digital twin-ML architecture for predictive maintenance of distribution-centre equipment (forklifts, conveyors, AGVs): ensemble anomaly detection (F1 0.915), LSTM/RF RUL prediction (R2 0.907), fault classification (92.1%); reported 42% less unplanned downtime and 4.5-month payback; low-confidence predictions routed to technicians, whose corrections retrain models."
R0011,Ivanov D.,2026,"Toward Industry 6.0: The Ecosystem Age, superintelligence, viability, and OR-AI symbiosis",Computers and Operations Research,10.1016/j.cor.2026.107563,,Conceptual,Generic/cross-sector,Plan/Source/Make/Deliver,Y,LLM/agent,Decision support,5 Prescriptive-autonomous,Reduced,Set objectives/constraints,Y,"Conceptualises Industry 6.0 as a digital-twin-driven, agentic-AI ecosystem and proposes a 7-layer OR-AI symbiosis architecture for agentic digital twins (infrastructure to resilience intelligence) in which OR models become continuous orchestration engines, agents autonomously synchronise cross-firm MPS/MRP, and managers define decision rules while validating AI outputs."
R0025,Schwede C.; Schipper L.; Cirullies J.,2026,Enabling Non-Simulation Experts to Adapt Digital Twins during Production System Redesign using Agentic AI,ICCMB 2026 - Proceedings of 2026 the 9th International Conference on Computers in Management and Business,10.1145/3802463.3802479,Make,Empirical case,"Discrete manufacturing / electronics assembly (laboratory IoT-Factory, HSBI Bielefeld; smart product in ~150 variants, mobile robots for parts supply)",Make,N,LLM/agent,Other,1 Descriptive,Elevated,Set objectives/constraints; Approve/override; Interpret outputs,Y,"Agentic LLM system (five Smolagents code agents, ReAct, RAG over OFacT documentation/state model; Qwen3-32B) lets non-experts structurally adapt an event-log-generated material-flow twin of a lab assembly factory via natural language; lean multi-agent, RAG planning and non-reasoning LLMs performed best (up to 100% success), removing expert-authored step instructions."
R0037,Leong W.Y.,2026,Climate-Disruption Early Warning for Malaysian Supply Chains Using Multimodal Data,ICCMB 2026 - Proceedings of 2026 the 9th International Conference on Computers in Management and Business,10.1145/3802463.3802485,,Simulation/synthetic,"Generic/cross-sector (logistics/ports, manufacturing, agri-food; Malaysia)",Plan/Source/Make/Deliver,Y,Hybrid,Forecasting/estimation,4 Prescriptive-advisory,Maintained,Approve/override,Y,"Simulated Malaysian supply chain CDEWS: RNN and graph-based risk forecasting on fused multimodal data plus a supply chain digital twin for what-if mitigation analysis raised disruption lead time from 8–12 h to 64–72 h and cut logistics downtime roughly one-third, stockout risk and recovery duration in three flood/rainfall scenarios."
R0044,Elmay F.; Kadadha M.; Singh S.; Mizouni R.; Otrok H.; Mourad A.,2026,"Digital-twins and machine learning-assisted stable, energy-aware unmanned aerial and ground vehicles delivery in blockchain-enabled crowdsourcing framework",Future Generation Computer Systems,10.1016/j.future.2025.108004,,Simulation/synthetic,Last-mile delivery / pharma cold chain,Deliver,N,Classical ML,Forecasting/estimation,5 Prescriptive-autonomous,Reduced,Handle exceptions,Y,"Package digital twins (Arrhenius model) plus Random Forest predictions of UAV energy and delivery success, feeding a blockchain-hosted Gale-Shapley allocation, improve QoS by at least 37%, delivery success by at least 45%, worker reputation by 32% and payoff by 22% versus benchmarks; the RF energy model reaches MAE 1.66."
R0045,Saidi C.; Hamani N.; Benaissa M.; Rolf B.; Reggelin T.; Lang S.,2026,Towards Intelligent Supply Chain Reconfiguration: A Framework Integrating Dynamic Knowledge Graph and AI-Driven Optimization,Lecture Notes in Mechanical Engineering,10.1007/978-3-032-16889-4_39,,Conceptual,"Generic/cross-sector (reconfigurable supply chain, no industry specified)",Plan/Source/Make/Deliver,Y,Hybrid,Optimisation; Forecasting/estimation,4 Prescriptive-advisory,Maintained,Interpret outputs,Y,"Conceptual framework only: a dynamic knowledge graph feeds a supply chain digital twin; an AI/metaheuristic optimisation engine suggests reconfigurations that are simulated and validated in the twin before deployment, with actors assessing scenarios; no implementation, named algorithm, or evaluation is provided."
R0054,Iqbal T.,2026,MACHINE LEARNING–DRIVEN SMART SHARING PLATFORMS FOR OPTIMIZING LAST-MILE DELIVERY IN SAUDI ARABIA’S E-COMMERCE SECTOR,Logforum,10.17270/j.log.001371,,Simulation/synthetic,Retail/e-commerce last-mile delivery (Saudi Arabia; pooled courier fleets and parcel lockers),Plan/Deliver,N,Classical ML,Forecasting/estimation,4 Prescriptive-advisory,Not discussed,Interpret outputs,N,"Gradient-boosting demand/ETA forecasts (LightGBM, CatBoost, SHAP) feed OR-Tools VRP-TW routing and CP-SAT locker siting; a SimPy 'Level-1' digital twin only stress-tests these policies. Pooled fleets cut routing cost 65% and lift on-time delivery from 37% to 100%; 25 lockers cut CO2 to 0.06 kg/parcel; SLA holds under Ramadan/weather stress."
R0057,Sahu D.P.; Rathore B.; Iqbal R.S.; Jiang W.; Prakash S.; Singh V.K.,2026,A Hybrid Genetic Algorithm and Multi-Agent Reinforcement Learning Framework for Optimized Supply Chain Management Using Edge-Enabled Digital Twins,IEEE Open Journal of the Communications Society,10.1109/ojcoms.2026.3714979,,Simulation/synthetic,"Generic/cross-sector (multi-echelon network of warehouses, distribution centres and retailers; no industry specified)",Plan/Source/Deliver,N,Hybrid,Optimisation,5 Prescriptive-autonomous,Not discussed,Not discussed,N,"Hybrid GA (global inventory allocation, routing, supplier selection) plus Q-learning MARL agents (reorder, reroute, risk mitigation) in a closed loop with edge digital twins of warehouses, distribution centres and retailers; Python simulations on synthetic plus public data beat GA, MARL, ACO, PSO (fill rate 96.5%, turnover 5.78, stockouts 4.3%)."
R0077,Dogančić B.; Rožić J.; Jokić M.; Čeredar M.,2026,Decentralised Manufacturing as a Networked Cyber–Physical System: Formalising Free and Open-Source Software Governance and ML Adaptation for Distributed Robustness,Systems,10.3390/systems14050469,Make,Conceptual,"Manufacturing/digital fabrication (3D printing, CNC, laser)",Make,N,Hybrid,Control,5 Prescriptive-autonomous,Reduced,Approve/override,Y,"Analytical framework: each fabrication node's Cognitive Gateway hosts a digital-twin nominal model whose twin gap trains a GP/neural-network disturbance estimator that automatically corrects control inputs; federated learning propagates corrections. FOSS governance provides redundancy, substitutability and informational persistence, absorbing supply chain (vendor lock-in), regulatory and process disturbances without central control."
R0078,Zhang W.; Yu C.; Newman S.T.; Cheung Ho Kin D.; Zhong R.Y.,2026,A machine learning approach for forecasting resilient material delivery in the construction industry,International Journal of Production Research,10.1080/00207543.2025.2482733,,Empirical data,Construction,Plan/Source/Deliver,N,Classical ML,Forecasting/estimation,3 Predictive,Maintained,Interpret outputs,Y,"A digital supply chain twin with a Kanban and AI layer running an improved HMM (M3HMM) forecasts construction material/machine delivery delays; on seven real projects M3HMM reached ~90% accuracy, beating LR, SVR, GMM, LSTM and HMM, with alerts ~5 days ahead for contractors' decisions."
R0080,Genetti S.; Scarton G.; Formentini M.; Iacca G.,2026,An intelligent Digital Twin based on machine learning for interpretable decision-making in manufacturing,International Journal of Production Economics,10.1016/j.ijpe.2025.109841,Make,Empirical case,"Machine tool manufacturing (CNC laser-cutting and tube-processing machines, Adige Spa / BLM Group, Italy; more than half of components outsourced)",Plan/Source/Make/Deliver,N,Hybrid,Optimisation,4 Prescriptive-advisory,Elevated,Approve/override,Y,"Action research at Adige Spa: an AnyLogic supply-chain twin drives evolutionary-RL learning of interpretable decision-tree scheduling policies, explained by four LLMs; expert votes steer the search, speeding convergence up to 21% and lowering makespan in 3/5 datasets, while interpretability proved decisive for stakeholder acceptance."
R0084,Ivanov D.,2026,Agentic digital twins: bridging model-based and AI-driven decision-making support for a new era of supply chain and operations management,International Journal of Production Research,10.1080/00207543.2026.2630277,,Conceptual,Generic/cross-sector (illustrations: Automotive - Ford deep-tier network; Cloud/IT - Microsoft cloud supply chain),Plan/Source/Make/Deliver,Y,LLM/agent,Decision support,4 Prescriptive-advisory,Elevated,Set objectives/constraints; Approve/override; Interpret outputs; Handle exceptions,Y,"Theorises the A-SCDT (agentic AI + digital twin + model-based optimisation/simulation) via the ICARUS framework: an architecture of data-concierge, co-pilot, LLM role, risk and operational agents around a central human planner; humans lead and validate, AI informs and automates flows, humans monitor anomalies."
R0094,"Ozturk, C; O'Sullivan, B",2026,An Adaptive Supply Chain Stress Testing Framework with Deep Learning,"TRANSPORT TRANSITIONS: ADVANCING SUSTAINABLE AND INCLUSIVE MOBILITY, TRA CONFERENCE 2024, VOL 5",10.1007/978-3-032-04774-8_75,,Conceptual,"Generic/cross-sector (multi-tier supply chain networks of public and private organisations; requirements from interviews, mainly manufacturing)",Plan/Source/Make/Deliver,Y,Other deep learning,Simulation surrogate,4 Prescriptive-advisory,Not discussed,Interpret outputs,N,"Conceptual proposal (no implementation or results): a supply-chain digital twin combining a BOM/geospatial graph model, ML disruption prediction, an optimisation decision model and discrete-event simulation with a feedback loop; an ANN metamodel trained on the decision-simulation pair serves as surrogate so practitioners can stress-test without modeling tools."
R0097,Keshvarinia M.; MacKenzie C.A.; Zhao Z.,2025,A simulation-based digital twin model for data-driven decision optimization,Decision Analytics Journal,10.1016/j.dajour.2025.100646,Make,Simulation/synthetic,"Manufacturing (generic, hypothetical job shop)",Plan/Source/Make,N,Classical ML,Simulation surrogate,4 Prescriptive-advisory,Maintained,Approve/override,Y,"Simulated DT (Simio DES: five-station plant, five suppliers, (Q,r) inventory, condition-based maintenance) with six ML regressors as surrogates predicting profit of 5,880 mitigation combinations; static recommendations recover 72%/50% of lost profit (32/48-day delays), and real-time state updates at supply arrival change the optimal mix (forklift, reorder quantity, overtime)."
R0113,Fatorachian H.; Kazemi H.; Pawar K.,2025,Enhancing Smart City Logistics Through IoT-Enabled Predictive Analytics: A Digital Twin and Cybernetic Feedback Approach,Smart Cities,10.3390/smartcities8020056,,Empirical data,Urban logistics / last-mile delivery,Plan/Deliver,N,Hybrid,Forecasting/estimation,5 Prescriptive-autonomous,Reduced,Set objectives/constraints,Y,"Framework combining IoT data, XGBoost/MLP predictors, a digital twin and a cybernetic feedback loop for last-mile delivery; on real data from a UK logistics firm, delivery-quality prediction accuracy rose from 76.3% (AUC 0.45) to 85.0% with the feedback loop; operational decisions are autonomous, humans set objectives."
R0116,Fedorin D.V.; Nastenko S.K.; Polyanichenko D.S.; Sukhanov A.V.; Grishaev S.Y.; Butakova M.A.,2025,Method for Rrecognizing and Generating Three-Dimensional Objects to Create Digital Twins,International Journal of Fuzzy Logic and Intelligent Systems,10.5391/ijfis.2025.25.1.97,,Empirical data,Maritime/port,Deliver,N,Other deep learning,Other,1 Descriptive,Reduced,Approve/override,Y,"A GIS-integrated editor with two U-Nets and a YOLOv8-obb detector reconstructs port container-yard topology from satellite images (mAP@0.5 0.95, mean contour deviation -0.153) and exports it to a digital twin's 3D scene; an expert test halved reconstruction labour (20 h to 10 h), with users still correcting contours."
R0118,Bhoite T.D.; Buktar R.B.; Mahalle P.N.; Khond M.P.; Pise G.S.; More Y.,2025,"Productivity Enhancement in the Indian Auto Component Manufacturing Supply Chain Through IoT, Digital Twins with Generative AI, and Stacked Encoder-Enhanced Neural Networks",Operations Research Forum,10.1007/s43069-025-00522-0,Make,Simulation/synthetic,Automotive,Make,N,Hybrid,Anomaly detection,4 Prescriptive-advisory,Reduced,Interpret outputs,N,"Layered IoT-digital twin-generative AI architecture with a hybrid BN-SE-PO model (Bayesian network, stacked encoder, Puma optimizer) for anomaly detection and decision suggestions; a claimed digital-twin simulation of a CNC machining cell reports OEE 65->82%, cycle time -25%, defects -50%, but the twin, data and validation are undocumented."
R0119,Zou Y.; Wu J.; Meng X.; Wang X.; Manzardo A.,2025,Digital twin integration for dynamic quality loss control in fruit supply chains,Journal of Food Engineering,10.1016/j.jfoodeng.2025.112577,,Empirical data,Food/cold chain,Deliver,N,RNN/LSTM/GRU,Forecasting/estimation,3 Predictive,Not discussed,Interpret outputs,N,"A BiLSTM-attention model inside a five-dimensional cold-chain digital twin, using one pallet-level sensor, predicts in-box fruit temperature within ±0.3 °C (about 60% error reduction vs ambient-only), giving shelf-life errors under ±1.2 days and simulated food-loss reductions of 8.6-15.5%; box-level twins are the most precise unit."
R0129,Badakhshan E.; Ivanov D.,2025,Integrating digital twin and blockchain for responsive working capital management in supply chains facing financial disruptions,International Journal of Production Research,10.1080/00207543.2025.2507112,,Simulation/synthetic,Generic/cross-sector,Plan/Source/Make/Deliver,Y,Classical ML,Decision support,4 Prescriptive-advisory,Maintained,Interpret outputs,Y,"Blockchain data sharing alone reduces but does not eliminate the cash-flow bullwhip; adding the digital twin (DES + supervised ML generating inventory/credit decision rules) eliminates it and further raises inventory turnover, shortens cash conversion cycles and lowers costs for distributors and manufacturer, with service level unchanged."
R0137,Ivanov D.,2025,From digital twins to supply chain ecosystems,IFAC-PapersOnLine,10.1016/j.ifacol.2025.09.014,,Conceptual,"Generic/cross-sector (supply chain resilience, ripple effect and stress-testing; no industry case)",Plan/Source/Make/Deliver,Y,LLM/agent,Decision support,4 Prescriptive-advisory,Elevated,Handle exceptions,Y,"Conceptual extension of the intelligent digital twin to a digital supply chain ecosystem: ontologies plus generative AI let the system build and adapt its simulation models and generate disruption scenarios for resilience stress-testing, within a human-AI collaboration where decision tasks are delegated back and forth (human-in-the-loop, not full automation)."
R0152,Mhiri M.; Mkacher H.; Al-Khatib M.; Kharbeche M.; AlNouss A.; Haouari M.,2025,Enhancing Liquefied Natural Gas supply chain robustness through digital twin-driven machine learning models: A special case of cryogenic heat exchanger,Gas Science and Engineering,10.1016/j.jgsce.2025.205714,Make,Simulation/synthetic,Energy (LNG / oil & gas),Make,N,Classical ML,Forecasting/estimation,5 Prescriptive-autonomous,Not discussed,None,Y,Proof-of-concept twin (Aspen HYSYS model of a cryogenic heat exchanger + decision-tree surrogate + VAR forecaster) predicts the next operating state and autonomously restores it to the nearest safe state; on synthetic scenarios it detects 52-57% of failures early and cuts cumulative downtime about 30% versus corrective maintenance.
R0157,Xiros V.; Gonzalez Castro J.M.; Fernandez-Pelaez F.; Magoutas B.; Christidis K.,2025,Supply Chain Data Analytics for Digital Twins: A Comprehensive Framework,Applied Sciences (Switzerland),10.3390/app15126939,,Empirical case,Circular manufacturing (food processing; WEEE magnet recycling),Plan/Source/Make/Return,N,Classical ML,Forecasting/estimation,3 Predictive,Maintained,Interpret outputs,Y,"A containerized, data-space-compliant analytics service attached to existing factory digital twins adds ML anomaly detection, forecasting and trained regressors (magnet properties) in a juice plant and a three-actor WEEE magnet-recycling chain; outputs stay advisory: alerts and predictions feed engineers who simulate parameters and decide."
R0164,Luo B.; Chen H.,2025,Design of a Geographic Path Model for Dongguan Export Based on Multi-Agent Reinforcement Learning and Supply Chain Simulation,"Proceedings of the 2025 5th International Conference on Internet of Things and Machine Learning, IoTML 2025",10.1145/3749566.3749610,,Simulation/synthetic,"Cross-border export logistics (Dongguan electronics/manufacturing cluster; ports, customs, multimodal freight)",Plan/Deliver,N,Reinforcement learning,Optimisation,5 Prescriptive-autonomous,Replaced,Interpret outputs; Set objectives/constraints,Y,"MARL (Double Dueling DQN agents for manufacturers, logistics providers, ports, customs) trained in a digital-twin simulation of the Dongguan export corridor reportedly cuts cost/TEU 22% vs GA, raises deadline compliance to 94.2% and re-plans disruptions in 43 s; agents coordinate without centralised oversight. Reported figures are internally inconsistent."
R0173,Paul S.,2025,Integration of Digital Twin and AI-enabled ERP Systems: A Conceptual Framework for Intelligent Electronics Manufacturing Services,"2025 6th International Conference on Communications, Information, Electronic and Energy Systems, CIEES 2025 - Conference Proceedings",10.1109/ciees66347.2025.11300246,Make,Conceptual,Electronics manufacturing services (EMS),Plan/Source/Make/Deliver,N,Hybrid,Decision support,5 Prescriptive-autonomous,Maintained,Interpret outputs,N,"Conceptual five-layer architecture (physical, digital twin, MES, ERP, AI-orchestration) in which the twin mirrors SMT/PCBA lines and feeds an AI layer that forecasts demand, reschedules production, optimises inventory and triggers work and purchase orders automatically; supplier, OEM and 3PL links run through ERP B2B messages."
R0174,Manoharan G.; Gharat A.; Banu R.N.; Soni A.; Sudhakar K.; Dhanke J.A.,2025,Digital Twin-Enabled Supply Chain Management in Cloud-based Smart Enterprises,"Proceedings of the 6th International Conference on Smart Electronics and Communication, ICOSEC 2025",10.1109/icosec67334.2025.11459761,,Simulation/synthetic,Generic/cross-sector,Plan/Make/Deliver,N,Hybrid,Control,5 Prescriptive-autonomous,Replaced,None,N,"A designed DT-FL-MASChain framework pairs an asset-level digital twin with an autonomous agent at each node; federated averaging trains local predictive models (efficiency label, downtime) without sharing raw data, and agents plus smart contracts trigger maintenance, restocking and routing automatically, with no human approval step."
R0178,Abdullahi I.; Larijani H.; Liarokapis D.; Paterson J.; Jones D.; Murray S.,2025,A Data-Intelligence-Driven Digital Twin Framework for Improving Sustainability in Logistics,Applied Sciences (Switzerland),10.3390/app15020601,,Empirical case,Road freight transport / logistics services,Plan/Deliver,N,Reinforcement learning,Optimisation,4 Prescriptive-advisory,Maintained,Approve/override,Y,A distributed logistics DT (Azure Digital Twins + Databricks) streams fleet telematics and ERP orders into an RL job-assignment/routing model; planners accept or reject its recommendations and their responses act as RL reward. Preliminary what-if simulations on 2023 company data indicate a 20-30% carbon-footprint reduction from avoided empty runs.
R0194,Ogunsoto O.V.; Olivares-Aguila J.; ElMaraghy W.,2025,A conceptual digital twin framework for supply chain recovery and resilience,Supply Chain Analytics,10.1016/j.sca.2024.100091,,Simulation/synthetic,Generic/cross-sector,Plan/Source/Make/Deliver,Y,Hybrid,Forecasting/estimation,3 Predictive,Maintained,Interpret outputs,Y,"Three-phase conceptual DSCT: an LSTM on Kerala rainfall predicts floods (75% accuracy, 84% AUC-ROC); a FlexSim DES of a real four-echelon network quantifies service-level drops under 65%/35% capacity disruptions; an MLPNN trained on the simulation output yields a recovery indicator (epoch of MSE convergence) as decision support for planners."
